Heading,Body,Star Rating,Date
A great way to fly - great service every time,"I have flown with Kenya Airways every time I have travelled to and from Nairobi.  That is surely proof of the excellent service that I have always received, that I keep returning to them.  From check-in to arrival at the other end I have never been able to fault their service and attention to detail.  Even when my wife found that nothing on the dinner menu suited her palate, as all the dishes had spicy overtones, the cabin crew bent over backwards to ensure that she had something to eat.  Where other airlines might have adopted a take it or leave it attitude, Kenya Airways excelled.I have always found Kenyans to be very helpful and friendly, and this shows in Kenya Airways' cabin crew and ground staff every time.Asante sana Kenya Airways.",,2021-04-03T13:23:19.000Z
The worst experience in my life,"The worst experience in my life. Several Passengers have died on this airline, the staff DO NOT CARE ! They are a dirty airline. They do not talk to you with respect ! They do NOT follow the law ! They have no compassionate! The biggest regret in my whole entire life is flying with KQ ! You have to actually want die to consider flying with KQ.Te reviews are from actual people and SO many people have had the same exact worse experience experience that should tell you something ! Instead of the CEO to be doing something about this he’s letting this airline drive itself to disaster and deaths !",,2023-02-25T10:29:43.000Z
Absolutely DREADFUL company,"Absolutely DREADFUL! I can't even believe such a despicable company can still be operatingThey have completely looted my luggage bag that I checked-in. All my valuables stolen. They even had the nerve go through my toiletry bag and stole items from it. I am still in disbelief.Kenya airways, you are disgusting!!!!Never, ever book with this disgraceful, sorry excuse of an airline",,2022-07-20T16:30:25.000Z
The worst customer service,"The worst customer service. We were flying from Nairobi to Mombasa, a group of 5 of us. When 2 of us arrived at the airport we were told they had overbooked the flight, splitting our group up despite us having already booked and paid deposits for transfers as a group of 5. Offered no compensation, travel voucher or anything to help us out. All they did was say sorry which helps nobody when we lost out on money.",,2023-06-01T08:40:12.000Z
Avoid them - fly with anyone else,"Terrible experience with this airline. Flight cancelled but I was not informed, as was the case with many others who arrived at the airport for the already cancelled flight. I was subsequently booked onto another flight leaving earlier than the cancelled one, but as I wasn't told the original flight had been cancelled I missed the rebooked flight. Trying to get another flight booked was an exercise in futility - one ticket staff at JKIA airport who looked like she was ready to crawl under a table. No communication, no one actually seems to care and I would not fly with them again. I've been told (by Kenyans) that Kenyans won't fly with KQ - they are bank rolled by the Govt so don't actually care about customers because they aren't reliant on their money to operate. Shoddy, shabby and not fit for purpose.",1,2023-12-08T23:55:48.000Z
Customer service is non existing,"Customer service is non existing: you can only contact them by whatsapp. Today at 12:19 pm I tried to contact their customer service.It lasted until 13:38 until I had some kind of (human, not automated) response.I was able to explain my problem around 13:42 pm.I got no response, until I was kicked out of the system at 14:15, when I was kindly asked to give my feedback on the system...If this is the way they treat their (platinum) clients, they don't deserve to call themselves the ""pride"" of Africa.The previous plaints I filed about other problems (delays and cancellations) also stay without any response.",1,2022-12-08T16:10:14.000Z
Flight back from Nairobi JKIA,"We flew back from nairobi on 30/07/23 and our return flight was horrendous. As we took off and reached cruising altitude the air in the plane got as hot there was no air conditioning on and we noticed quite a few people were feeling faint,when asked about putting the air conditioning on they came around with big bottle of water to give to anyone who asked for it before eventually putting the air conditioning on.Also nobody was offered any alcoholic beverages apart from the first class at any point in the flight,which was really odd alcohol has aways been served on long haul flights before the main meal weather it’s free or paid for. None of this happened on the flight there only on return flight.",1,2023-09-04T15:48:54.000Z
Dreadful experience,"Dreadful experience. Plane delayed by over three hours and counting to accommodate travellers in transit, who should have been put on the next flight. I had to ask three times for the staff to bring water and nuts to passengers. No communication or consideration. Last time I fly with KQ.",5,2021-12-17T23:10:04.000Z
Bad service and no refunds,I made a booking with kenya airways before covid-19 to fly april 2020. But all flights were cancelled due to the lockdown. Have sent them several emails for a refund but nothing. I dont even know why am i bothing myself with typing here because i know they wont even contact me to resolve the issue.,,2021-10-05T18:57:24.000Z
Terrible horrible. Keep away from this company,well i have very bad experience with kenya airway 2nd time. i made big mistake again to book a fligh with this very bad airline. the first time got my refund after one year. now im struggling to get my refund of £758. i advise every one to keep away from kenya airways. the worest airline i ever seen so far. not responding calls. lies when they talk to you or promise you for refund. since 27 January 2024,,2024-04-05T11:44:08.000Z
I would avoid this airline,I am strongly disappointed by this airline. The airline cancelled my flight in October 2022. I then requested a full refund since i couldnt travel a different date . Upto now i havw not received my refund. I have made several attempts to get my money back .... i have been unsuccessful. Most,,2023-01-25T08:39:05.000Z
Worst Airline I have ever dealt with…,"Worst Airline I have ever dealt with (after 40 years using airlines).  So incompetent they charged me twice over for tickets I bought through Expedia with them.  Then Expedia and my bank requested an email from Kenya Airways stating that they have issued charges to my bank twice by mistake, Kenya Airways refused to do anything - over a month later they are still refusing to acknowledge they charged me twice.  In fact they didn't even look into the problem.",1,2021-11-18T11:35:08.000Z
